Ni,Nh1,Nh2,No,act_f,n_epochs,batchsize,lr,decay,lr_final,reg_type,alpha_reg,patience,train_loss,val_loss
1,43,43,1,sig,5000,1,0.00481624336650036,True,0.0005,L1,0.005259371776507249,400,3.0821299008783676,3.0524822893626697
1,30,30,1,sig,5000,1,0.0025411807678553684,True,0.0005,L2,0.0010225628408934994,400,1.3174910004591003,1.4072935834152083
1,63,63,1,ReLU,5000,1,0.005731286873587174,True,0.0005,L1,0.008705539296956125,400,1.4816339074085356,1.2546924155928842
1,60,60,1,leaky ReLU,5000,1,0.00852658325226498,True,0.0005,L1,0.001382005529731888,400,1.464861895929154,1.443046268085099
1,43,43,1,sig,5000,1,0.00416768685219846,True,0.0005,L2,0.007821376775134108,400,1.5339338235721796,1.658553332340241
1,70,70,1,sig,5000,1,0.003861881256632645,True,0.0005,None,0.007529014394716397,400,1.2343079786190838,1.3457041282984286
1,45,45,1,leaky ReLU,5000,1,0.008007201801784082,True,0.0005,L2,0.0019369239552499676,400,1.223262872857427,1.288899070283322
1,18,18,1,leaky ReLU,5000,1,0.00521138988242458,True,0.0005,None,0.0072463024959410075,400,1.0292499343770374,1.2150229422822654
1,39,39,1,ReLU,5000,1,0.009839820500340296,True,0.0005,L1,0.0034322038073396474,400,5.92944538624802,8.595332707403422
1,66,66,1,sig,5000,1,0.0019030866500456013,True,0.0005,None,0.003884161151715464,400,1.3005394889605524,1.379842510202348
1,12,12,1,leaky ReLU,5000,1,0.001189408301509054,True,0.0005,L1,0.003941690884216142,400,1.1295360900535076,1.2360083735235199
1,85,85,1,ReLU,5000,1,0.0037677604406025095,True,0.0005,L2,0.00921439904290506,400,1.0860000836358048,1.273283720328498
1,9,9,1,ReLU,5000,1,0.004589287255420279,True,0.0005,None,0.0026437083808966977,400,1.3462247655277326,1.4043806871609033
1,34,34,1,leaky ReLU,5000,1,0.006816240537667212,True,0.0005,L1,0.006643136458639162,400,1.8497918716390016,1.2883404563124796
1,47,47,1,leaky ReLU,5000,1,0.006156790521187607,True,0.0005,L2,0.006489258796864878,400,1.221193675324707,1.2849695454272643
